Name,Link,Summary,Type
Adversarial Generation of Continuous Implicit Shape Representations,https://arxiv.org/abs/2002.00349,https://www.notion.so/Adversarial-Generation-of-Continuous-Implicit-Shape-Representations-f6bbc480b5a040b4a799e9947e3f1192,Paper
Curriculum DeepSDF,https://arxiv.org/pdf/2003.08593.pdf,,Paper
"Fully Convolutional Geometric Features for Category-level Object
Alignment",http://erl.ucsd.edu/ref/Feng_CategoryAlignment_IROS20.pdf,,Paper
Manifold Learning in Quotient Spaces,https://openaccess.thecvf.com/content_cvpr_2018/papers/Mehr_Manifold_Learning_in_CVPR_2018_paper.pdf,,Paper
Generalized Autoencoder for Volumetric Shape Generation,https://openaccess.thecvf.com/content_CVPRW_2020/papers/w17/Guan_Generalized_Autoencoder_for_Volumetric_Shape_Generation_CVPRW_2020_paper.pdf,,Paper
SAMP: Shape and Motion Priors for 4D Vehicle Reconstruction,https://www.vision.rwth-aachen.de/media/papers/EngelmannWACV17_x8euNDK.pdf,,Paper
深度学习框架PyTorch：入门与实践,https://github.com/chenyuntc/pytorch-book,https://www.notion.so/PyTorch-bf69705ce0b842de86a7afd454409c68,Books
YOLOv4: Optimal Speed and Accuracy of Object Detection,https://arxiv.org/abs/2004.10934,https://www.notion.so/YOLOv4-Optimal-Speed-and-Accuracy-of-Object-Detection-71483bf5f17041d1986d8e5b0eec0b11,Paper
Self6D: Self-Supervised Monocular 6D Object Pose Estimation,https://github.com/THU-DA-6D-Pose-Group/Self6D-Diff-Renderer,,Paper
Machine Learning Optimized Systems,https://remziarpacidusseau.wixsite.com/mlos,,Workshop
HybridPose: 6D Object Pose Estimation under Hybrid Representations,https://github.com/chensong1995/HybridPose,,Paper
PVNet: Pixel-wise Voting Network for 6DoF Pose Estimation,https://github.com/zju3dv/pvnet,,Paper
"Learning Monocular 3D Vehicle Detection
without 3D Bounding Box Labels",https://lukaskoestler.com/ldwl,,Paper
"Deep Shells: Unsupervised Shape Correspondence
with Optimal Transport",https://arxiv.org/pdf/2010.15261.pdf,,Paper
Conditional Link Prediction of Category-Implicit Keypoint Detection,https://arxiv.org/pdf/2011.14462.pdf,,Paper
RfD-Net: Point Scene Understanding by Semantic Instance Reconstruction,https://arxiv.org/pdf/2011.14744.pdf,,Paper
Vid2CAD: CAD Model Alignment using Multi-View Constraints from Videos,https://arxiv.org/pdf/2012.04641.pdf,,Paper
"MO-LTR: Multiple Object Localization, Tracking and Reconstruction
from Monocular RGB Videos",https://arxiv.org/pdf/2012.05360.pdf,,Paper
Accelerating 3D Deep Learning with PyTorch3D,https://arxiv.org/pdf/2007.08501.pdf,,Paper
Learning 3D Reconstruction in Function Space (Long Version),https://www.bilibili.com/video/BV1Mp4y167RM,,Workshop
From Points to Multi-Object 3D Reconstruction,https://arxiv.org/pdf/2012.11575.pdf,,Paper
DualSDF: Semantic Shape Manipulation using a Two-Level Representation,https://openaccess.thecvf.com/content_CVPR_2020/papers/Hao_DualSDF_Semantic_Shape_Manipulation_Using_a_Two-Level_Representation_CVPR_2020_paper.pdf,,Paper
CornerNet-Lite: Efficient Keypoint-Based Object Detection,https://arxiv.org/pdf/1904.08900.pdf,code https://github.com/princeton-vl/CornerNet-Lite,Paper
Neural Geometric Level of Detail: Real-time Rendering with Implicit 3D Shapes,https://arxiv.org/pdf/2101.10994.pdf,,Paper
